"group" "motif_type" "counts" "total_count"
"19" "protein_complexes" 7 3
"19" "protein_complexes" 9 1
"19" "protein_complexes" 13 1
"19" "protein_complexes" 14 1
"19" "regulatory_triplets" 2 213
"19" "regulatory_triplets" 3 30
"19" "regulatory_triplets" 4 9
"19" "regulatory_triplets" 5 2
"19" "regulatory_triplets" 6 4
"19" "regulatory_triplets" 8 1
"19" "regulatory_triplets" 10 1
"19" "signaling_triplets" 2 220
"19" "signaling_triplets" 3 43
"19" "signaling_triplets" 4 17
"19" "signaling_triplets" 5 1
"19" "signaling_triplets" 6 2
"19" "signaling_triplets" 7 2
"19" "signaling_triplets" 8 2
"19" "signaling_triplets" 11 1
"19" "signaling_triplets" 13 1
"20" "others" 2 75
"20" "others" 3 18
"20" "others" 4 14
"20" "others" 5 4
"20" "others" 6 2
"20" "others" 7 2
"20" "others" 8 2
"20" "others" 9 2
"20" "others" 10 1
"20" "others" 11 1
"20" "others" 12 1
"20" "others" 13 1
"20" "others" 15 1
"20" "others" 17 1
"20" "others" 28 1
"20" "others" 33 1
"20" "protein_complexes" 2 432
"20" "protein_complexes" 3 74
"20" "protein_complexes" 4 24
"20" "protein_complexes" 5 5
"20" "protein_complexes" 6 4
"20" "protein_complexes" 8 1
"20" "protein_complexes" 12 1
"20" "regulatory_triplets" 2 144
"20" "regulatory_triplets" 3 19
"20" "regulatory_triplets" 4 7
"20" "regulatory_triplets" 6 2
"20" "regulatory_triplets" 7 1
"20" "regulatory_triplets" 9 1
"20" "regulatory_triplets" 10 1
"20" "regulatory_triplets" 18 1
"20" "signaling_triplets" 2 245
"20" "signaling_triplets" 3 53
"20" "signaling_triplets" 4 14
"20" "signaling_triplets" 5 5
"20" "signaling_triplets" 6 1
"20" "signaling_triplets" 7 1
"20" "signaling_triplets" 8 1
"21" "others" 2 80
"21" "others" 3 20
"21" "others" 4 14
"21" "others" 5 3
"21" "others" 6 2
"21" "others" 8 1
"21" "others" 9 2
"21" "others" 10 1
"21" "others" 11 2
"21" "others" 12 4
"21" "others" 13 3
"21" "others" 14 2
"21" "others" 15 1
"21" "others" 16 1
"21" "protein_complexes" 2 399
"21" "protein_complexes" 3 70
"21" "protein_complexes" 4 16
"21" "protein_complexes" 5 6
"21" "protein_complexes" 6 1
"21" "protein_complexes" 7 4
"21" "protein_complexes" 10 1
"21" "regulatory_triplets" 2 195
"21" "regulatory_triplets" 3 22
"21" "regulatory_triplets" 4 7
"21" "regulatory_triplets" 5 6
"21" "regulatory_triplets" 6 3
"21" "regulatory_triplets" 7 2
"21" "signaling_triplets" 2 210
"21" "signaling_triplets" 3 44
"21" "signaling_triplets" 4 12
"21" "signaling_triplets" 5 7
"21" "signaling_triplets" 6 6
"21" "signaling_triplets" 8 1
"21" "signaling_triplets" 9 1
"21" "signaling_triplets" 10 1
"22" "others" 2 84
"22" "others" 3 19
"22" "others" 4 14
"22" "others" 5 2
"22" "others" 6 3
"22" "others" 7 4
"22" "others" 8 5
"22" "others" 9 1
"22" "others" 11 1
"22" "others" 14 2
"22" "others" 16 1
"22" "others" 18 1
"22" "protein_complexes" 2 381
"22" "protein_complexes" 3 75
"22" "protein_complexes" 4 24
"22" "protein_complexes" 5 5
"22" "protein_complexes" 6 3
"22" "protein_complexes" 7 5
"22" "protein_complexes" 8 2
"22" "protein_complexes" 9 1
"22" "regulatory_triplets" 2 171
"22" "regulatory_triplets" 3 33
"22" "regulatory_triplets" 4 12
"22" "regulatory_triplets" 5 4
"22" "regulatory_triplets" 6 1
"22" "regulatory_triplets" 21 1
"22" "signaling_triplets" 2 231
"22" "signaling_triplets" 3 38
"22" "signaling_triplets" 4 12
"22" "signaling_triplets" 5 2
"22" "signaling_triplets" 6 3
"22" "signaling_triplets" 7 3
"22" "signaling_triplets" 9 1
"23" "others" 2 57
"23" "others" 3 20
"23" "others" 4 6
"23" "others" 5 2
"23" "others" 6 2
"23" "others" 7 1
"23" "others" 8 2
"23" "others" 9 1
"23" "others" 10 2
"23" "others" 14 2
"23" "others" 15 1
"23" "protein_complexes" 2 401
"23" "protein_complexes" 3 65
"23" "protein_complexes" 4 21
