Node label	Node label ORF	Domain (predominant)	Neighborhood score [max=1, min=0] (predominant)	Total number of enriched domains	Number of enriched attributes per domain
YER150W	YER150W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YER151C	YER151C	14	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,56,7,0,0
YER155C	YER155C	14	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,60,2,0,0
YER156C	YER156C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YER157W	YER157W	3	0.978	2	6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YER161C	YER161C	14	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,64,1,0,0
YER162C	YER162C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YER164W	YER164W	15	0.683	1	0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
YER165W	YER165W	9	1.000	1	0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0
YER167W	YER167W	15	0.424	2	0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0
YER168C	YER168C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YER171W	YER171W	15	0.469	2	0,0,0,0,0,0,0,0,0,0,0,0,2,28,0,0
YER172C	YER172C	6	1.000	2	0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0
YER173W	YER173W	14	0.468	1	0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
YER174C	YER174C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YER177W	YER177W	15	1.000	3	0,0,0,0,0,0,0,0,0,0,0,0,21,68,1,0
YER178W	YER178W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YER189W	YER189W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YFL005W	YFL005W	4	0.709	2	0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0
YFL007W	YFL007W	11	0.413	1	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
YFL008W	YFL008W	14	0.489	1	0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
YFL009W	YFL009W	14	0.935	2	0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,0
YFL010C	YFL010C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YFL010W-A	YFL010W-A	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YFL012W	YFL012W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YFL013C	YFL013C	1	0.366	2	0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0
YFL014W	YFL014W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YFL018C	YFL018C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YFL021W	YFL021W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YFL022C	YFL022C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YFL023W	YFL023W	15	0.796	1	0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0
YFL024C	YFL024C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YFL029C	YFL029C	15	0.978	2	0,0,0,0,0,0,0,0,0,0,0,0,14,17,0,0
YFL031W	YFL031W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YFL032W	YFL032W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YFL033C	YFL033C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YFL034W	YFL034W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YFL036W	YFL036W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YFL037W	YFL037W	1	0.496	1	0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YFL038C	YFL038C	3	1.000	2	8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YFL039C	YFL039C	15	0.928	2	0,0,0,0,0,0,0,0,0,0,0,0,26,42,0,0
YFL045C	YFL045C	11	0.331	1	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
YFL049W	YFL049W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YFL054C	YFL054C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YFL058W	YFL058W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YFR002W	YFR002W	9	1.000	1	0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0
