interaction_id	target_gene_name	kinase_gene_name	target_oln_id	kinase_oln_id	score
307	SLD3	CDC28	YGL113W	YBR160W	10.85494
308	PAN1	ARK1	YIR006C	YNL020C	10.84257
309	BOI2	CDC28	YER114C	YBR160W	10.80275
310	CDC5	SWE1	YMR001C	YJL187C	10.79345
311	PCL10	PHO85	YGL134W	YPL031C	10.78502
312	PCL7	PHO85	YIL050W	YPL031C	10.78502
313	CHS2	DBF2	YBR038W	YGR092W	10.74784
314	LTV1	HRR25	YKL143W	YPL204W	10.73356
315	MIF2	CKA2	YKL089W	YOR061W	10.69771
316	SLA1	ARK1	YBL007C	YNL020C	10.684257
317	NDT80	IME2	YHR124W	YJL106W	10.56971
318	ASH1	PHO85	YKL185W	YPL031C	10.53207
319	ENT1	PRK1	YDL161W	YIL095W	10.531167
320	SLK19	CDC5	YOR195W	YMR001C	10.52591
321	MAM1	HRR25	YER106W	YPL204W	10.52181
322	RIM101	PHO85	YHL027W	YPL031C	10.500171
323	RIM15	TPK1	YFL033C	YJL164C	10.494735
324	CAF20	SLT2	YOR276W	YHR030C	10.49445
325	YPK2	TOR2	YMR104C	YKL203C	10.48989
326	SAE2	CDC5	YGL175C	YMR001C	10.39877
327	MYO5	YPK2	YMR109W	YMR104C	10.39614
328	SSN8	SSN3	YNL025C	YPL042C	10.334146
329	PBS2	RCK2	YJL128C	YLR248W	10.30234
330	NUP2	HOG1	YLR335W	YLR113W	10.27108
331	TIF6	HRR25	YPR016C	YPL204W	10.27108
332	STE5	FUS3	YDR103W	YBL016W	10.249121
333	SWI5	PHO85	YDR146C	YPL031C	10.24261
334	CLB5	CDC28	YPR120C	YBR160W	10.222389
335	BUB2	CDC5	YMR055C	YMR001C	10.20503
336	CNM67	CDC28	YNL225C	YBR160W	10.074369
337	GIC2	CLA4	YDR309C	YNL298W	10.06698
338	CDC14	CDC28	YFR028C	YBR160W	10.05406
339	RPO21	CDC28	YDL140C	YBR160W	10.05154
340	YPK1	TOR2	YKL126W	YKL203C	10.041187
341	IKI3	HRR25	YLR384C	YPL204W	10.041
342	KIP1	CDC28	YBL063W	YBR160W	10.02634
343	NPR1	NPR1	YNL183C	YNL183C	10.02634
344	PUF6	CKA2	YDR496C	YOR061W	10.02634
345	RAD54	MEK1	YGL163C	YOR351C	10.02634
346	RPS2	CTK1	YGL123W	YKL139W	10.02634
347	MOB1	MPS1	YIL106W	YDL028C	10.02616
348	YTA7	CKA1	YGR270W	YIL035C	10.00885
349	YTA7	CKA2	YGR270W	YOR061W	10.00885
350	CDC34	SCH9	YDR054C	YHR205W	9.99715
351	RAD55	MEC1	YDR076W	YBR136W	9.99715
352	SEC63	CKA1	YOR254C	YIL035C	9.99715
353	SST2	FUS3	YLR452C	YBL016W	9.99715
354	HOT1	HOG1	YMR172W	YLR113W	9.841401
355	BUB1	CDC28	YGR188C	YBR160W	9.779549
356	KSP1	TOR1	YHR082C	YJR066W	9.77363
357	DBF2	CDC28	YGR092W	YBR160W	9.772939
358	DPB2	CDC28	YPR175W	YBR160W	9.72528
359	BUR2	SGV1	YLR226W	YPR161C	9.68129
360	TID3	MPS1	YIL144W	YDL028C	9.66839
361	MIH1	PKC1	YMR036C	YBL105C	9.64658
362	WHI3	TPK1	YNL197C	YJL164C	9.64546
363	PKC1	PKH2	YBL105C	YOL100W	9.610251
364	PKH2	PKC1	YOL100W	YBL105C	9.610251
365	SEC9	KIN1	YGR009C	YDR122W	9.57832
366	GPA2	IME2	YER020W	YJL106W	9.57068
367	BUB1	MPS1	YGR188C	YDL028C	9.56951
368	ATG13	TPK3	YPR185W	YKL166C	9.548
369	ATG13	TPK2	YPR185W	YPL203W	9.548
370	ATG13	TPK1	YPR185W	YJL164C	9.548
371	MAD1	MPS1	YGL086W	YDL028C	9.548
372	MSN2	SSN3	YMR037C	YPL042C	9.548
373	RGD1	IPL1	YBR260C	YPL209C	9.548
374	SLM1	TOR2	YIL105C	YKL203C	9.548
