oln_id_a	oln_id_b	interaction_type	interaction_type_abbrev
YBR049C	YBL050W	transcription factor-target down	td
YBR049C	YBL051C	transcription factor-target down	td
YBR049C	YBL052C	transcription factor-target down	td
YBR049C	YBL058W	transcription factor-target down	td
YBR049C	YBL076C	transcription factor-target down	td
YBR049C	YBL077W	transcription factor-target down	td
YBR049C	YBL078C	transcription factor-target down	td
YBR049C	YBL084C	transcription factor-target down	td
YBR049C	YBL102W	transcription factor-target down	td
YBR049C	YBL103C	transcription factor-target down	td
YBR049C	YBL105C	transcription factor-target down	td
YBR049C	YBR002C	transcription factor-target down	td
YBR049C	YBR003W	transcription factor-target down	td
YBR049C	YBR017C	transcription factor-target down	td
YBR049C	YBR034C	transcription factor-target down	td
YBR049C	YBR036C	transcription factor-target down	td
YBR049C	YBR065C	transcription factor-target down	td
YBR049C	YBR077C	transcription factor-target down	td
YBR049C	YBR082C	transcription factor-target down	td
YBR049C	YBR091C	transcription factor-target down	td
YBR049C	YBR092C	transcription factor-target down	td
YBR049C	YBR095C	transcription factor-target down	td
YBR049C	YBR096W	transcription factor-target down	td
YBR049C	YBR130C	transcription factor-target down	td
YBR049C	YBR131W	transcription factor-target down	td
YBR049C	YBR143C	transcription factor-target down	td
YBR049C	YBR163W	transcription factor-target down	td
YBR049C	YBR164C	transcription factor-target down	td
YBR049C	YBR165W	transcription factor-target down	td
YBR049C	YBR170C	transcription factor-target down	td
YBR049C	YBR171W	transcription factor-target down	td
YBR049C	YBR229C	transcription factor-target down	td
YBR049C	YBR234C	transcription factor-target down	td
YBR049C	YBR236C	transcription factor-target down	td
YBR049C	YBR237W	transcription factor-target down	td
YBR049C	YBR253W	transcription factor-target down	td
YBR049C	YCL054W	transcription factor-target down	td
YBR049C	YCR004C	transcription factor-target down	td
YBR049C	YCR011C	transcription factor-target down	td
YBR049C	YCR012W	transcription factor-target down	td
YBR049C	YCR032W	transcription factor-target down	td
YBR049C	YCR068W	transcription factor-target down	td
YBR049C	YCR095C	transcription factor-target down	td
YBR049C	YDL005C	transcription factor-target down	td
YBR049C	YDL007W	transcription factor-target down	td
YBR049C	YDL025C	transcription factor-target down	td
YBR049C	YDL031W	transcription factor-target down	td
YBR049C	YDL047W	transcription factor-target down	td
YBR049C	YDL070W	transcription factor-target down	td
YBR049C	YDL097C	transcription factor-target down	td
YBR049C	YDL112W	transcription factor-target down	td
YBR049C	YDL125C	transcription factor-target down	td
YBR049C	YDL155W	transcription factor-target down	td
YBR049C	YDL186W	transcription factor-target down	td
YBR049C	YDL188C	transcription factor-target down	td
YBR049C	YDL208W	transcription factor-target down	td
YBR049C	YDL209C	transcription factor-target down	td
YBR049C	YDL212W	transcription factor-target down	td
YBR049C	YDL213C	transcription factor-target down	td
YBR049C	YDL225W	transcription factor-target down	td
YBR049C	YDL226C	transcription factor-target down	td
YBR049C	YDR003W	transcription factor-target down	td
YBR049C	YDR032C	transcription factor-target down	td
YBR049C	YDR036C	transcription factor-target down	td
YBR049C	YDR050C	transcription factor-target down	td
YBR049C	YDR060W	transcription factor-target down	td
YBR049C	YDR073W	transcription factor-target down	td
YBR049C	YDR091C	transcription factor-target down	td
YBR049C	YDR143C	transcription factor-target down	td
YBR049C	YDR147W	transcription factor-target down	td
YBR049C	YDR151C	transcription factor-target down	td
YBR049C	YDR152W	transcription factor-target down	td
YBR049C	YDR155C	transcription factor-target down	td
