interaction_id	target_gene_name	kinase_gene_name	target_oln_id	kinase_oln_id	score
1192	NBP2	BCK1	YDR162C	YJL095W	4.281379
1193	FKH2	CDC5	YNL068C	YMR001C	4.27545
1194	HTA1	CTK1	YDR225W	YKL139W	4.27545
1195	HTA2	CTK1	YBL003C	YKL139W	4.27545
1196	HTB1	CTK1	YDR224C	YKL139W	4.27545
1197	HTB2	CTK1	YBL002W	YKL139W	4.27545
1198	POL1	CTK1	YNL102W	YKL139W	4.27545
1199	RPO21	HRR25	YDL140C	YPL204W	4.27545
1200	SKP1	BUB1	YDR328C	YGR188C	4.27545
1201	TID3	KIN3	YIL144W	YAR018C	4.27545
1202	MID2	PKC1	YLR332W	YBL105C	4.267131
1203	REG1	YCK1	YDR028C	YHR135C	4.267131
1204	SLG1	BCK1	YOR008C	YJL095W	4.267131
1205	RTS1	CLA4	YOR014W	YNL298W	4.259618
1206	SPA2	MKK2	YLL021W	YPL140C	4.24292
1207	SRB8	SSN3	YCR081W	YPL042C	4.239523
1208	DMA1	PHO85	YHR115C	YPL031C	4.23563
1209	KEL2	CDC28	YGR238C	YBR160W	4.23563
1210	KKQ8	CDC28	YKL168C	YBR160W	4.23563
1211	MPC54	CDC28	YOR177C	YBR160W	4.23563
1212	YBR138C	CDC28	YBR138C	YBR160W	4.23563
1213	YFR017C	PHO85	YFR017C	YPL031C	4.23563
1214	URE2	TOR1	YNL229C	YJR066W	4.222849
1215	GPB2	TPK1	YAL056W	YJL164C	4.212678
1216	ARP2	PRK1	YDL029W	YIL095W	4.211759
1217	MOB1	CDC5	YIL106W	YMR001C	4.20737
1218	TPK1	TOR1	YJL164C	YJR066W	4.20737
1219	BNI1	CDC28	YNL271C	YBR160W	4.17673
1220	SAP185	PHO85	YJL098W	YPL031C	4.17673
1221	YMR295C	BCK1	YMR295C	YJL095W	4.171611
1222	SCH9	PHO85	YHR205W	YPL031C	4.16586
1223	SIN3	CBK1	YOL004W	YNL161W	4.148589
1224	BEM3	ELM1	YPL115C	YKL048C	4.139676
1225	PKP1	PKP2	YIL042C	YGL059W	4.138427
1226	FKS1	SLT2	YLR342W	YHR030C	4.13184
1227	CLB2	ELM1	YPR119W	YKL048C	4.129789
1228	CKA1	SNF1	YIL035C	YDR477W	4.124499
1229	SKI8	AKL1	YGL213C	YBR059C	4.1214882
1230	ELP3	HRR25	YPL086C	YPL204W	4.11853
1231	MSN4	TPK2	YKL062W	YPL203W	4.11853
1232	NPR1	TOR1	YNL183C	YJR066W	4.11853
1233	NPR1	TOR2	YNL183C	YKL203C	4.11853
1234	PMD1	MCK1	YER132C	YNL307C	4.11853
1235	SIT4	HRR25	YDL047W	YPL204W	4.11853
1236	TOR1	NPR1	YJR066W	YNL183C	4.11853
1237	TOR2	NPR1	YKL203C	YNL183C	4.11853
1238	TPK2	YAK1	YPL203W	YJL141C	4.11853
1239	CDC15	CDC5	YAR019C	YMR001C	4.1175
1240	MAD1	BUB1	YGL086W	YGR188C	4.104789
1241	SSK2	SSK22	YNR031C	YCR073C	4.101781
1242	SSK22	SSK2	YCR073C	YNR031C	4.101781
1243	STE7	HOG1	YDL159W	YLR113W	4.101781
1244	PIL1	SLT2	YGR086C	YHR030C	4.09973
1245	CDC3	HSL1	YLR314C	YKL101W	4.08901
1246	RPA190	CTK1	YOR341W	YKL139W	4.08901
1247	ATG19	KIN1	YOL082W	YDR122W	4.08268
1248	BEM1	MPS1	YBR200W	YDL028C	4.08268
1249	BUD14	KIN2	YAR014C	YLR096W	4.08268
1250	CHS2	ISR1	YBR038W	YPR106W	4.08268
1251	CKB2	CKA2	YOR039W	YOR061W	4.08268
